iter	Passed	Remaining
0	75	30318
1	80	16058
2	83	11042
3	86	8572
4	88	7006
5	90	5964
6	93	5245
7	96	4721
8	99	4304
9	102	3986
10	104	3707
11	107	3482
12	109	3272
13	112	3105
14	115	2959
15	117	2820
16	119	2703
17	122	2597118	126	2535
19	129	2453
20	132	2385
21	135	2330
22	139	2279
23	142	2238
24	145	2181
25	147	2122
26	150	2079
27	152	2031
28	155	1984
29	157	1945
30	159	1903
31	163	1878
32	166	1849
33	169	1829
34	172	1800
35	175	1774
36	178	1751
37	181	1731
38	184	1709
39	189	1703
40	191	1681
41	194	1655
42	196	1630
43	198	1609
44	201	1591
45	204	1574
46	207	1554
47	209	1536
48	212	1523
49	215	1506
50	217	1488
51	219	1471
52	221	1452
53	224	1435
54	226	1418
55	228	1404
56	232	1400
57	234	1384
58	237	1375
59	241	1366
60	244	1356
61	246	1343
62	248	1330
63	252	1324
64	254	1314
65	257	1302
66	260	1296
67	263	1287
68	267	1281
69	269	1272
70	272	1264
71	275	1253
72	277	1244
73	280	1235
74	282	1224
75	285	1217
76	288	1208
77	290	1199
78	293	1191
79	296	1185
80	298	1175
81	300	1166
82	303	1158
83	305	1151
84	308	1143
85	310	1134
86	312	1125
87	315	1117
88	317	1108
89	320	1104
90	323	1099
91	326	1094
92	330	1089
93	333	1086
94	337	1083
95	340	1078
96	343	1074
97	346	1066
98	348	1059
99	350	1052
100	354	1048
101	357	1043
102	359	1036
103	361	1029
104	363	1021
105	366	1015
106	368	1008
107	370	1002
108	373	997
109	375	990
110	378	985
111	380	979
112	383	974
113	387	971
114	389	965
115	392	959
116	395	957
117	397	950
118	400	944
119	402	938
120	403	931
121	406	925
122	408	919
123	410	914
124	413	910
125	415	904
126	418	899
127	423	899
128	427	897
129	430	894
130	434	892
131	437	889
132	440	883
133	443	880
134	445	875
135	449	871
136	452	867
137	454	863
138	458	860
139	462	858
140	465	854
141	469	852
142	471	847
143	475	845
144	478	841
145	482	839
146	485	834
147	488	831
148	491	827
149	493	822
150	495	817
151	498	812
152	500	808
153	504	806
154	509	804
155	512	801
156	514	796
157	517	791
158	519	787
159	521	782
160	524	779
161	527	775
162	530	770
163	532	765
164	534	761
165	537	757
166	539	752
167	543	749
168	547	748
169	551	745
170	554	742
171	557	739
172	561	736
173	564	733
174	569	732
175	572	728
176	574	724
177	577	720
178	579	715
179	582	712
180	58181	58181	58182	58182	59183	59183	593	696
184	596	693
185	599	689
186	602	685
187	604	681
188	60189	60189	60190	61190	61191	61191	61192	61192	61193	61193	62194	62194	62195	62195	62196	62196	62197	63197	63198	63198	63199	63199	63200	63200	639	633
201	644	631
202	647	628
203	650	624
204	652	620
205	656	617
206	659	614
207	662	611
208	665	608
209	668	604
210	670	600
211	674	598
212	677	594
213	680	591
214	683	588
215	686	585
216	690	582
217	694	579
218	696	576
219	699	572
220	701	568
221	705	565
222	708	561
223	711	559
224	713	555
225	716	551
226	718228	7227	721229	7228	725230	7229	727231	7230	730232	7231	733233	7232	738	529
233	741	526
234	745	523
235	747	519
236	751	516
237	756	514
238	760	512
239	764	509
240	768	507
241	771	503
242	774	500
243	777	496
244	779	493
245	781	489
246	784	485
247	786	482
248	790	479
249	793	475
250	796	472
251	799	469
252	803	466
253	806	463
254	808	459
255	811	456
256	814	452
257	817	450
258	820	446
259	823261	8260	825262	829	431
263	833	429
264	836	426
265	840	423
266	842	419
267	845	416
268	847	412
269	850	409
270	853	406
271	855	402
272	858	399
273	861	396
274	864	393
275	867	389
276	870	386
277	873	383
278	875	379
279	878	376
280	881	373
281	884	369
282	888	367
283	890	363
284	988	398
285	1284	1093	441
285	1096	436
286	1107	436
287	1111	432
288	1113	427
289	1116	423
290	1120	419
291	1124	415
292	1127	411
293	1133	408
294	1136	404
295	1162	408
296	1165	404
297	1168	399
298	1177	397
299	1183	394
300	1193	392
301	1196	388
302	1200	384
303	1208	381
304	1211	377
305	1214	373
306	1221	369
307	1223309	1238	359
310	1241	355
311	1243	350
312	1254	348
313	1256	344
314	1260	340
315	1263	315	316	1266	316	317	1316	1276318	1317	1278319	1279	319
320	1319	1289321	1320	321	322	1321	1300	315
322	1303324	1304	300
325	1306	296
326	1311	326	327	1326	1323	295
327	1325329	1328	281
330	1330	277
331	1330	1339332	1337	269
333	1332	333	334	1343	334	335	1356	258
336	1361	336	337	1367	337	1380	253
338	1383	248
339	1389	245
340	341	1388	341	342	1394	342	343	1397	343	344	1400	344	345	1403	345	346	1408	346	347	1416	211
348	1419	207
349	1428	204
350	1430	199
351	1350	1441352	1351	1446	197
352	1448354	1451	183
355	1354	1462	185
355	1465357	1356	1468358	1481	169
359	1358	1497360	1359	1507361	1360	1514	163
361	1521	159
362	1525364	1581	151
365	1584	147
366	1587	142
367	1590	138
368	1593	133
369	1596	129
370	1600	125
371	1609	121
372	1612	116
373	1619	112
374	1624	108
375	1627	103
376	1631	99
377	1639	95
378	1642	91
379	1645	86
380	1648	82
381	1651	77
382	1655	73
383	1658	69
384	1661	64
385	1663	60
386	1666	55
387	1670	51
388	1673	47
389	1676	42
390	1680	38
391	1682	34
392	1686	30
393	1690	25
394	1712	21
395	1715	17
396	1717	12
397	1719	8
398	1721	4
399	1723	0
9	1710	0
9	1708	0
